"date","avg_temp","sd_temp","n_cells","se_temp","scenario"
2015-01-16,8.44125796818152,1.71841845105325,82,0.189767571984984,"sst_SSP1_2.6"
2015-02-16,8.25493989048935,1.58933857000569,82,0.175513083735342,"sst_SSP1_2.6"
2015-03-16,8.37511176016273,1.3870871005195,82,0.153178145309103,"sst_SSP1_2.6"
2015-04-16,8.70644874107547,1.13636472438389,82,0.125490490691335,"sst_SSP1_2.6"
2015-05-16,10.4913162487309,0.940189933973639,82,0.103826609208918,"sst_SSP1_2.6"
2015-06-16,14.0722908334034,1.26543543813679,82,0.139743966582638,"sst_SSP1_2.6"
2015-07-16,18.0081942895564,1.13473592090482,82,0.125310619437466,"sst_SSP1_2.6"
2015-08-16,17.3147020107362,1.27577754113675,82,0.140886060799747,"sst_SSP1_2.6"
2015-09-16,15.7162485994944,1.61176490038884,82,0.177989657623813,"sst_SSP1_2.6"
2015-10-16,14.792893473695,1.59260570740334,82,0.175873878704061,"sst_SSP1_2.6"
2015-11-16,13.017279025985,1.18281798815638,82,0.130620395500888,"sst_SSP1_2.6"
2015-12-16,11.0996344089508,1.20912670091865,82,0.133525706800291,"sst_SSP1_2.6"
2016-01-16,9.66953657603845,1.22723442071728,82,0.135525369931389,"sst_SSP1_2.6"
2016-02-16,8.46350655032367,1.48458670697907,82,0.16394517564213,"sst_SSP1_2.6"
2016-03-16,8.12518233496968,1.42627638144166,82,0.157505877407112,"sst_SSP1_2.6"
2016-04-16,8.32851899833214,1.33744533773297,82,0.14769612968754,"sst_SSP1_2.6"
2016-05-16,9.93292987637404,0.933185494633465,82,0.103053098283284,"sst_SSP1_2.6"
2016-06-16,13.0495981646747,0.695662032122379,82,0.0768230198396033,"sst_SSP1_2.6"
2016-07-16,15.4370626414694,1.13566887052851,82,0.125413646488161,"sst_SSP1_2.6"
2016-08-16,16.8375177732328,1.27511256792655,82,0.140812626793345,"sst_SSP1_2.6"
2016-09-16,15.9703159099672,1.55491781405,82,0.171711947126506,"sst_SSP1_2.6"
2016-10-16,14.496920829866,1.3108441246984,82,0.14475851713669,"sst_SSP1_2.6"
2016-11-16,12.6873636013124,1.11887250139035,82,0.123558797811718,"sst_SSP1_2.6"
2016-12-16,10.5643297986286,1.24194791439232,82,0.137150203491817,"sst_SSP1_2.6"
2017-01-16,9.65169346623304,1.16681962815602,82,0.128853672191355,"sst_SSP1_2.6"
2017-02-16,8.56077456474304,1.29283638222407,82,0.142769894654087,"sst_SSP1_2.6"
2017-03-16,8.46708040702634,1.2424528838989,82,0.137205968045049,"sst_SSP1_2.6"
2017-04-16,9.56854359405797,1.08050260015,82,0.119321551062404,"sst_SSP1_2.6"
2017-05-16,10.9676860134776,1.09942633093803,82,0.121411327532356,"sst_SSP1_2.6"
2017-06-16,12.5335284907643,1.28570591099377,82,0.141982465834493,"sst_SSP1_2.6"
2017-07-16,16.0496527160086,1.59033418797072,82,0.175623031346608,"sst_SSP1_2.6"
2017-08-16,16.2165909743891,1.38125238405071,82,0.15253380866524,"sst_SSP1_2.6"
2017-09-16,15.2332800946585,1.52890141193337,82,0.16883891613779,"sst_SSP1_2.6"
2017-10-16,14.0889431848759,1.50198225472835,82,0.165866192526991,"sst_SSP1_2.6"
2017-11-16,12.3508554958716,1.22332756507109,82,0.135093929900226,"sst_SSP1_2.6"
2017-12-16,11.0739593505859,1.19552141781237,82,0.132023254624184,"sst_SSP1_2.6"
2018-01-16,10.0814836606747,1.17680682589136,82,0.129956573678479,"sst_SSP1_2.6"
2018-02-16,8.89693022065046,1.34063592009047,82,0.148048470566346,"sst_SSP1_2.6"
2018-03-16,8.88878077995486,1.43817968395523,82,0.158820377269016,"sst_SSP1_2.6"
2018-04-16,9.62700872304963,1.03096755937013,82,0.113851320914903,"sst_SSP1_2.6"
2018-05-16,11.2918729142445,0.821406413338652,82,0.0907091637526535,"sst_SSP1_2.6"
2018-06-16,14.1937438278663,0.95470188275802,82,0.105429185859497,"sst_SSP1_2.6"
2018-07-16,17.0858314211776,1.50834066531677,82,0.166568361511681,"sst_SSP1_2.6"
2018-08-16,17.7129034996033,1.45511500767287,82,0.160690570911727,"sst_SSP1_2.6"
2018-09-16,17.4842520516093,1.74196738055895,82,0.192368116207728,"sst_SSP1_2.6"
2018-10-16,14.3478231313752,1.35419549878807,82,0.149545875534854,"sst_SSP1_2.6"
2018-11-16,12.3748001819704,0.995632449138124,82,0.10994921076796,"sst_SSP1_2.6"
2018-12-16,10.6034978540932,0.945801840358812,82,0.104446340595222,"sst_SSP1_2.6"
2019-01-16,9.71213027035318,1.058221866892,82,0.116861055686657,"sst_SSP1_2.6"
2019-02-16,9.0523875021353,1.15515151501152,82,0.127565144650393,"sst_SSP1_2.6"
2019-03-16,8.57529774235516,1.2701119081986,82,0.140260396308207,"sst_SSP1_2.6"
2019-04-16,9.3333867003278,0.982912194076561,82,0.10854449358945,"sst_SSP1_2.6"
2019-05-16,11.2758111837434,0.785437207814329,82,0.0867370294949028,"sst_SSP1_2.6"
2019-06-16,12.8166828388121,1.05772824481167,82,0.116806544247022,"sst_SSP1_2.6"
2019-07-16,15.0358716569296,1.11032546915199,82,0.122614935998224,"sst_SSP1_2.6"
2019-08-16,16.278124064934,1.29916335632311,82,0.143468592059281,"sst_SSP1_2.6"
2019-09-16,15.4176919285844,1.26457010632336,82,0.139648406669919,"sst_SSP1_2.6"
2019-10-16,14.1205632570313,1.27029689426743,82,0.14028082460209,"sst_SSP1_2.6"
2019-11-16,12.4341238591729,1.07485017711112,82,0.1186973453602,"sst_SSP1_2.6"
