"date","avg_temp"
2022-07-13,8.45565926559328
2022-08-12,7.90799251691563
2022-09-11,8.04803661286362
2022-10-11,8.503503754383
2022-11-10,10.2985941143486
2022-12-10,12.7960393034567
2023-01-09,14.9387463021466
2023-02-08,17.3002699604185
2023-03-10,15.8213156827791
2023-04-09,14.0575997209924
2023-05-09,12.1499277174942
2023-06-08,10.512573745307
2023-07-08,9.16899809874888
2023-08-07,8.48327703175582
2023-09-06,8.62701545174666
2023-10-06,8.90756900291743
2023-11-05,10.5517819697463
2023-12-05,12.7811722792978
2024-01-04,15.212598642965
2024-02-03,16.4330542256513
2024-03-04,17.0667574574628
2024-04-03,16.2367655235951
2024-05-03,13.464593031275
2024-06-02,10.7280222149346
2024-07-02,9.02916642061369
2024-08-01,8.41874263793465
2024-08-31,8.47287709318747
2024-09-30,9.31461888410914
2024-10-30,11.0005452088484
2024-11-29,14.2714445534654
2024-12-29,16.6846091127771
2025-01-28,17.3317117841225
2025-02-27,17.5504746324434
2025-03-29,14.6689951663881
2025-04-28,12.2418709402009
2025-05-28,10.9780880935549
2025-06-27,9.70652023450596
2025-07-27,8.6514343239191
2025-08-26,8.4119387048436
2025-09-25,8.94289005084301
2025-10-25,10.2315817029457
2025-11-24,13.6483680019228
2025-12-24,15.5754961103905
2026-01-23,16.7245827397024
2026-02-22,15.8506417161836
2026-03-24,13.9427375342902
2026-04-23,12.7382192386417
2026-05-23,11.2986630417231
2026-06-22,9.6507216325895
2026-07-22,8.59970571112445
2026-08-21,8.55766612526
2026-09-20,8.98924931203286
2026-10-20,10.2957592536145
2026-11-19,12.1658410199984
2026-12-19,14.4865540031373
2027-01-18,15.8576247898612
2027-02-17,15.3031653081338
2027-03-19,13.2848191449023
2027-04-18,11.5040574937355
2027-05-18,9.87714356700266
2027-06-17,8.96181149370088
2027-07-17,8.48666792216263
2027-08-16,7.87911274301724
2027-09-15,8.47408501182015
2027-10-15,9.881404846672
2027-11-14,13.2151881540854
2027-12-14,15.3387151928399
2028-01-13,16.8500336098859
2028-02-12,16.6089739912138
2028-03-13,14.1204409711943
2028-04-12,12.1081325350784
2028-05-12,10.4608453765629
2028-06-11,9.79743738249531
2028-07-11,8.6350709059107
2028-08-10,8.14158890566488
2028-09-09,8.6180651544586
2028-10-09,10.0887928910143
2028-11-08,13.5337542361162
2028-12-08,15.1316121769702
2029-01-07,16.9183652081827
2029-02-06,17.222892228074
2029-03-08,14.6423777482641
2029-04-07,12.6288801403496
2029-05-07,10.5604283865981
2029-06-06,9.20856909864531
2029-07-06,8.55285223637979
2029-08-05,8.26315909107839
2029-09-04,8.22511157088392
2029-10-04,9.7059850692749
2029-11-03,13.7766323615247
2029-12-03,15.8030903057789
2030-01-02,16.3651351403064
2030-02-01,16.1257621584915
2030-03-03,14.2026183661513
2030-04-02,12.037740632305
2030-05-02,10.2423117630125
2030-06-01,8.80534046653687
2030-07-01,8.29704054509561
2030-07-31,8.37603615212628
2030-08-30,8.74268201017004
2030-09-29,9.8392948616208
2030-10-29,12.293980515848
2030-11-28,14.512363283653
2030-12-28,15.1457111403698
2031-01-27,14.9243524581429
2031-02-26,13.371882724011
2031-03-28,11.9876304386169
2031-04-27,10.5872407823097
2031-05-27,9.42384001589197
2031-06-26,8.23930569896548
2031-07-26,7.39224333275022
2031-08-25,8.17188383087399
2031-09-24,10.442320080254
2031-10-24,14.6651956753468
2031-11-23,18.485965308242
2031-12-23,17.8420979206956
2032-01-22,16.8474690595011
2032-02-21,15.3197461526225
2032-03-22,13.405196970842
2032-04-21,11.2577168321985
2032-05-21,9.58998523546955
2032-06-20,8.16032918794887
2032-07-20,7.60601343695573
2032-08-19,8.55696436363881
2032-09-18,10.1445394050418
2032-10-18,12.8675650649183
2032-11-17,14.612934818418
2032-12-17,16.5270409020852
2033-01-16,15.4476438432228
2033-02-15,13.8492989802924
2033-03-17,12.0769290323333
2033-04-16,9.76733018469623
2033-05-16,9.04646795377957
2033-06-15,8.36434200992734
2033-07-15,8.06737966237106
2033-08-14,8.98290977327842
2033-09-13,10.6604457089281
2033-10-13,13.9467797542182
2033-11-12,15.4241763212549
2033-12-12,16.372993611914
2034-01-11,16.5707645641537
2034-02-10,14.8076695269487
2034-03-12,12.7646212239904
2034-04-11,10.5907519933746
2034-05-11,9.17820966900803
2034-06-10,8.28044031548688
2034-07-10,8.28333703739437
2034-08-09,8.54162489523099
2034-09-08,10.0311352962584
2034-10-08,12.7646652957586
2034-11-07,15.2419059257808
2034-12-07,16.7216503038181
2035-01-06,16.3334668076883
2035-02-05,15.103878471795
2035-03-07,12.990618112519
2035-04-06,10.8159971537552
2035-05-06,9.13650556624405
2035-06-05,8.18186693116436
2035-07-05,7.53634771962804
2035-08-04,7.80924981034647
2035-09-03,10.005169192637
2035-10-03,12.5426674114438
2035-11-02,14.0116724705133
2035-12-02,15.142497333016
2036-01-01,14.5674347539586
2036-01-31,13.3344580657839
2036-03-01,11.5496734408882
2036-03-31,9.77868196907944
2036-04-30,8.61933546742116
2036-05-30,7.92533135977317
2036-06-29,7.33961498831201
2036-07-29,8.18699195816761
2036-08-28,9.8470971415362
2036-09-27,12.2274649237085
2036-10-27,15.4419798963652
2036-11-26,16.8207331604845
2036-12-26,16.1258092564861
2037-01-25,14.6179933322696
2037-02-24,12.620347683824
2037-03-26,10.8569947866004
2037-04-25,9.37914079756249
2037-05-25,8.50682517299502
2037-06-24,8.04102933688427
2037-07-24,8.51431951372642
2037-08-23,10.2948119321207
2037-09-22,14.0442398401696
2037-10-22,16.0771515238003
